method,split,groups,mean_mean_success,ci95_mean_success,mean_mean_utility,ci95_mean_utility,mean_mean_contact_mode_f1,ci95_mean_contact_mode_f1,mean_mean_boundary_error,ci95_mean_boundary_error,mean_mean_complementarity_residual,ci95_mean_complementarity_residual,mean_mean_impulse_violation,ci95_mean_impulse_violation,mean_mean_unsafe_impulse,ci95_mean_unsafe_impulse,mean_mean_jam_rate,ci95_mean_jam_rate,mean_mean_slip_overshoot,ci95_mean_slip_overshoot,mean_mean_mode_switch_latency,ci95_mean_mode_switch_latency,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_energy_spike,ci95_mean_energy_spike,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_fixed_risk_coverage,ci95_mean_fixed_risk_coverage,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle
contact_implicit_mpc,sensor_dropout,10,0.536042,0.019393,0.547363,0.019482,0.377791,0.000555,0.250844,0.000355,0.071279,0.000218,0.070214,0.00037,0.040659,0.000406,0.059652,0.000287,0.053295,0.000297,0.066841,0.000194,0.383659,0.000712,0.057978,0.000307,0.071958,0.000207,0.171016,0.000305,0.506292,6.8e-05,0.198542,0.026547
contact_implicit_mpc,heldout_mixed_non_smooth_stress,10,0.509792,0.016288,0.515791,0.016286,0.380894,0.000503,0.261511,0.000199,0.077935,0.000393,0.077373,0.000215,0.04545,0.000218,0.067132,0.000327,0.070913,0.000366,0.067336,0.0002,0.38455,0.000448,0.063032,0.000326,0.081996,0.000199,0.176306,0.000219,0.489069,4.1e-05,0.189167,0.024445
complementarity_residual_planner,nominal,10,0.586875,0.011025,0.626614,0.010818,0.457462,0.000532,0.224447,0.000304,0.047192,0.000293,0.050466,0.000293,0.026531,0.000304,0.044403,0.000275,0.029641,0.000308,0.045324,0.000324,0.484152,0.000601,0.04158,0.000264,0.039309,0.000289,0.153636,0.00026,0.582258,7.4e-05,0.1875,0.010002
complementarity_residual_planner,seen_contact_shift,10,0.580208,0.012859,0.611055,0.012755,0.438418,0.000485,0.23304,0.000255,0.054703,0.000298,0.058819,0.000236,0.031577,0.000377,0.05096,0.000296,0.039932,0.000186,0.050368,0.000408,0.458066,0.00053,0.048864,0.000309,0.053423,0.00027,0.162287,0.000138,0.556057,6e-05,0.172083,0.025531
complementarity_residual_planner,unseen_geometry,10,0.557917,0.019092,0.582966,0.018858,0.429541,0.000537,0.239441,0.000331,0.05987,0.000336,0.0671,0.000323,0.034842,0.000281,0.057331,0.00023,0.042416,0.000362,0.053955,0.000246,0.444804,0.000462,0.052516,0.000257,0.060898,0.000288,0.167155,0.000268,0.542736,7.2e-05,0.178333,0.02638
complementarity_residual_planner,unseen_friction,10,0.5575,0.010334,0.580641,0.01026,0.423926,0.000396,0.238928,0.000266,0.059901,0.000142,0.063844,0.000273,0.035637,0.000298,0.054545,0.000326,0.06249,0.000321,0.055679,0.000293,0.437566,0.000287,0.054457,0.000389,0.064996,0.000358,0.16924,0.000224,0.534455,5.1e-05,0.171875,0.021643
complementarity_residual_planner,unseen_compliance,10,0.54875,0.0147,0.569931,0.01467,0.420659,0.00059,0.245725,0.00026,0.062179,0.000208,0.066676,0.000221,0.037459,0.000242,0.059703,0.00021,0.048645,0.000409,0.057382,0.000249,0.432892,0.000495,0.055976,0.000394,0.068078,0.000306,0.171372,0.000113,0.529693,7.5e-05,0.174792,0.016731
complementarity_residual_planner,actuator_latency,10,0.548125,0.014665,0.569135,0.014619,0.421721,0.000528,0.24673,0.000264,0.061295,0.00017,0.06608,0.000219,0.041038,0.000201,0.056003,0.000306,0.0481,0.000313,0.065551,0.000367,0.433799,0.000624,0.055727,0.000274,0.068545,0.000258,0.171509,0.000196,0.529624,6.5e-05,0.175208,0.017835
complementarity_residual_planner,sensor_dropout,10,0.544583,0.014599,0.562154,0.014231,0.401008,0.000641,0.243939,0.000288,0.062228,0.000213,0.067129,0.000291,0.038593,0.000379,0.057174,0.000299,0.04966,0.00026,0.066524,0.000261,0.409908,0.000403,0.056438,0.000236,0.06931,0.000301,0.172552,0.000156,0.526715,6.1e-05,0.19,0.021545
complementarity_residual_planner,heldout_mixed_non_smooth_stress,10,0.520417,0.009887,0.532939,0.009722,0.404367,0.000528,0.254196,0.000395,0.067635,0.000384,0.074061,0.00025,0.043306,0.000287,0.064322,0.00017,0.064981,0.000234,0.067291,0.000244,0.409283,0.000509,0.061501,0.000291,0.078977,0.000303,0.17765,0.000219,0.50963,6.2e-05,0.178542,0.01889
robust_hybrid_mpc,nominal,10,0.599375,0.016615,0.644273,0.016142,0.469373,0.000476,0.216414,0.000343,0.049461,0.000257,0.044707,0.000132,0.02064,0.000291,0.040332,0.000241,0.027315,0.000223,0.042564,0.000299,0.505968,0.000468,0.03642,0.000172,0.035036,0.000294,0.167899,0.000257,0.631044,6e-05,0.175,0.018939
robust_hybrid_mpc,seen_contact_shift,10,0.569375,0.012652,0.606595,0.012524,0.451103,0.000559,0.224698,0.000399,0.057762,0.000309,0.051932,0.000162,0.024855,0.000328,0.046295,0.000272,0.036906,0.000129,0.047272,0.000212,0.479586,0.000475,0.042621,0.000257,0.047645,0.000297,0.177068,0.000198,0.605065,7.5e-05,0.182917,0.020478
robust_hybrid_mpc,unseen_geometry,10,0.578958,0.014151,0.610338,0.013775,0.441572,0.000469,0.231362,0.000256,0.063583,0.000348,0.058066,0.000335,0.027336,0.000233,0.052145,0.000226,0.039949,0.000262,0.050597,0.000371,0.465704,0.000284,0.045979,0.000255,0.054212,0.000296,0.181364,0.000207,0.591831,5e-05,0.157292,0.02166
robust_hybrid_mpc,unseen_friction,10,0.559583,0.012162,0.589565,0.012038,0.436533,0.000501,0.230059,0.000267,0.062864,0.000189,0.055961,0.000333,0.028225,0.000312,0.049679,0.000347,0.060303,0.000315,0.05214,0.000191,0.458593,0.00025,0.047372,0.000282,0.057294,0.000216,0.183903,0.000193,0.58349,8.3e-05,0.169792,0.018274
robust_hybrid_mpc,unseen_compliance,10,0.542917,0.013587,0.571205,0.013297,0.433682,0.000496,0.236473,0.000465,0.065544,0.000329,0.058147,0.000141,0.0294,0.000313,0.054005,0.000276,0.04597,0.000337,0.05353,0.000139,0.454228,0.000596,0.048528,0.000202,0.060752,0.000271,0.18582,0.000243,0.578966,4e-05,0.180625,0.01592
robust_hybrid_mpc,actuator_latency,10,0.543333,0.013838,0.571798,0.013866,0.434743,0.000488,0.236778,0.000477,0.064795,0.00031,0.057598,0.000203,0.032679,0.000361,0.050744,0.000223,0.04516,0.00033,0.060532,0.000298,0.455522,0.000554,0.048588,0.000291,0.060584,0.000334,0.185919,0.00027,0.578942,6.2e-05,0.18,0.020409
robust_hybrid_mpc,sensor_dropout,10,0.554375,0.009556,0.579182,0.009573,0.41361,0.000445,0.234841,0.000375,0.065717,0.00034,0.05846,0.00022,0.030468,0.000286,0.051861,0.000396,0.046863,0.000279,0.061954,0.000267,0.431433,0.000709,0.049023,0.00032,0.061374,0.000252,0.18685,0.000175,0.575981,7.9e-05,0.180208,0.019727
robust_hybrid_mpc,heldout_mixed_non_smooth_stress,10,0.53625,0.013477,0.55677,0.013509,0.417206,0.000439,0.244019,0.000359,0.071419,0.000372,0.064208,0.000292,0.03384,0.000231,0.058232,0.000255,0.062779,0.000229,0.062486,0.000298,0.431265,0.000612,0.053044,0.00017,0.069488,0.000297,0.192231,0.000188,0.559154,8.8e-05,0.162708,0.022027
learned_contact_classifier,nominal,10,0.605208,0.011728,0.640954,0.011402,0.46573,0.000574,0.223487,0.000248,0.064389,0.00027,0.055527,0.000319,0.028808,0.000206,0.042071,0.000265,0.030503,0.000196,0.043948,0.00034,0.464091,0.000503,0.047432,0.000166,0.038291,0.000218,0.14698,0.000169,0.550877,4.2e-05,0.169167,0.015754
learned_contact_classifier,seen_contact_shift,10,0.590625,0.018455,0.615996,0.018087,0.447556,0.000508,0.232199,0.000257,0.077569,0.000307,0.066516,0.000375,0.034293,0.000264,0.047972,0.000289,0.044551,0.000214,0.048185,0.000323,0.438297,0.000456,0.056022,0.00034,0.052041,0.000169,0.155773,0.000159,0.524393,6.2e-05,0.161667,0.027756
learned_contact_classifier,unseen_geometry,10,0.551042,0.009095,0.570881,0.008958,0.437844,0.000345,0.240418,0.000515,0.086542,0.000253,0.076491,0.00023,0.0382,0.0003,0.052908,0.000285,0.048842,0.000252,0.051369,0.000231,0.423871,0.000516,0.060968,0.00024,0.058997,0.000226,0.160373,0.000156,0.510904,5.5e-05,0.185208,0.015679
learned_contact_classifier,unseen_friction,10,0.558958,0.016626,0.57609,0.016571,0.432699,0.000136,0.237183,0.000431,0.085659,0.000236,0.0726,0.00038,0.039199,0.000318,0.051475,0.000221,0.077986,0.000251,0.052502,0.000283,0.416921,0.000499,0.06289,0.000292,0.062574,0.000336,0.162722,0.000198,0.501749,4.8e-05,0.170417,0.024694
learned_contact_classifier,unseen_compliance,10,0.552083,0.014,0.56755,0.013946,0.429624,0.000539,0.244656,0.000307,0.089276,0.000372,0.075908,0.000286,0.041017,0.000288,0.056506,0.000301,0.057931,0.000243,0.054357,0.000226,0.4128,0.00047,0.065002,0.000244,0.066095,0.000288,0.164785,0.000234,0.49753,7.1e-05,0.171458,0.02153
learned_contact_classifier,actuator_latency,10,0.54875,0.014471,0.564172,0.014377,0.430387,0.000606,0.244817,0.000314,0.088517,0.000222,0.07496,0.000182,0.044541,0.000222,0.052785,0.000257,0.057101,0.000153,0.062773,0.00021,0.41348,0.000561,0.064941,0.000211,0.06641,0.000433,0.164635,0.000204,0.497481,4.3e-05,0.174583,0.012079
learned_contact_classifier,sensor_dropout,10,0.56125,0.016672,0.573487,0.016489,0.409688,0.000536,0.242288,0.00034,0.090169,0.0002,0.076611,0.000378,0.042347,0.000195,0.053894,0.000185,0.059281,0.000122,0.061444,0.000329,0.389389,0.000616,0.065622,0.000229,0.066783,0.000199,0.165557,0.000211,0.494479,5.3e-05,0.173333,0.025557
learned_contact_classifier,heldout_mixed_non_smooth_stress,10,0.524167,0.016639,0.530476,0.016616,0.413817,0.000497,0.253251,0.000311,0.099186,0.000206,0.085406,0.000278,0.047297,0.000393,0.060505,0.000363,0.081276,0.000234,0.063205,0.000244,0.389654,0.000324,0.071469,0.000305,0.0762,0.000196,0.171221,0.000232,0.476932,6.9e-05,0.174792,0.011379
energy_barrier_policy,nominal,10,0.598125,0.014716,0.633145,0.014415,0.407895,0.000566,0.232631,0.000375,0.058392,0.000278,0.043671,0.000223,0.022081,0.000168,0.045955,0.000254,0.02901,0.000146,0.042896,0.000314,0.445492,0.000489,0.030957,0.00028,0.037679,0.00037,0.159531,0.000112,0.616501,4.6e-05,0.17625,0.019183
energy_barrier_policy,seen_contact_shift,10,0.5675,0.006784,0.593503,0.006717,0.389994,0.000406,0.242872,0.000215,0.069582,0.000217,0.050667,0.000387,0.026549,0.000236,0.053276,0.000348,0.041284,0.000221,0.048923,0.000403,0.418625,0.000396,0.035386,0.000312,0.050806,0.000216,0.168623,0.000305,0.590105,5.4e-05,0.184792,0.018302
energy_barrier_policy,unseen_geometry,10,0.549792,0.024306,0.570193,0.024188,0.380099,0.000518,0.251153,0.000213,0.077076,0.000277,0.056966,0.00029,0.0291,0.000175,0.06068,0.000285,0.045095,0.00027,0.052898,0.000405,0.404749,0.000479,0.037796,0.000288,0.057871,0.000229,0.173041,0.000278,0.576644,5.5e-05,0.186458,0.029188
energy_barrier_policy,unseen_friction,10,0.550833,0.011293,0.568691,0.01136,0.375366,0.000472,0.249801,0.000371,0.076681,0.000352,0.054845,0.000166,0.030013,0.000306,0.056956,0.000276,0.070556,0.000187,0.054876,0.000265,0.397586,0.000686,0.038789,0.000233,0.061128,0.000319,0.175653,0.000136,0.568013,7.1e-05,0.178542,0.016128
energy_barrier_policy,unseen_compliance,10,0.5425,0.010458,0.558745,0.010472,0.37232,0.000367,0.256962,0.000266,0.079493,0.000191,0.057228,0.00031,0.0312,0.00033,0.062126,0.000184,0.052924,0.000267,0.05627,0.000352,0.393658,0.000532,0.039586,0.000198,0.06431,0.000281,0.177487,0.000288,0.563693,5.4e-05,0.181042,0.01707
energy_barrier_policy,actuator_latency,10,0.5375,0.017152,0.55354,0.016943,0.373415,0.000428,0.257186,0.00029,0.079086,0.00033,0.056944,0.000274,0.034761,0.000342,0.058922,0.000308,0.051765,0.00019,0.064152,0.000197,0.394429,0.00055,0.039692,0.000244,0.06449,0.000352,0.177507,0.000195,0.563618,7.1e-05,0.185833,0.023329
energy_barrier_policy,sensor_dropout,10,0.542917,0.008634,0.555565,0.008521,0.352452,0.000575,0.25528,0.000445,0.080107,0.000321,0.05771,0.000328,0.032653,0.00041,0.060051,0.00028,0.054012,0.000268,0.067152,0.000278,0.370373,0.000756,0.040087,0.000214,0.065138,0.000185,0.178486,0.00022,0.560598,5.9e-05,0.191667,0.019326
energy_barrier_policy,heldout_mixed_non_smooth_stress,10,0.50375,0.013208,0.511132,0.013129,0.355526,0.000412,0.266892,0.000394,0.087868,0.000321,0.063408,0.000308,0.036416,0.000218,0.067591,0.000377,0.073336,0.000229,0.066951,0.000332,0.369501,0.000489,0.043194,0.000214,0.074084,0.000171,0.183964,0.000159,0.543282,7.5e-05,0.195208,0.01501
proposed_contact_mode_boundary_atlas_v4,nominal,10,0.644167,0.013513,0.703079,0.012642,0.548424,0.000462,0.192389,0.000335,0.039028,0.00032,0.042572,0.000309,0.016582,0.000227,0.031045,0.000271,0.019165,0.000288,0.039439,0.000237,0.57699,0.00033,0.031185,0.000317,0.028282,0.000205,0.160797,0.000305,0.647494,5.2e-05,0.130208,0.018193
proposed_contact_mode_boundary_atlas_v4,seen_contact_shift,10,0.626458,0.018782,0.679501,0.018419,0.530266,0.000749,0.198389,0.000267,0.045216,0.000276,0.049196,0.000169,0.020678,0.000223,0.035536,0.000278,0.026426,0.000151,0.043235,0.000231,0.550555,0.000388,0.036497,0.000221,0.037591,0.000337,0.170045,0.000232,0.621864,6.2e-05,0.125833,0.030588
proposed_contact_mode_boundary_atlas_v4,unseen_geometry,10,0.616042,0.013693,0.664993,0.013838,0.520982,0.000567,0.202705,0.000443,0.049726,0.000245,0.054177,0.000203,0.022972,0.000265,0.039187,0.000378,0.028633,0.000348,0.045221,0.00025,0.537304,0.000557,0.039265,0.000303,0.042054,0.000277,0.174389,0.000251,0.608983,7.7e-05,0.120208,0.017986
proposed_contact_mode_boundary_atlas_v4,unseen_friction,10,0.621042,0.012789,0.667155,0.012562,0.515423,0.000407,0.201963,0.000473,0.049612,0.000127,0.052945,0.000348,0.023624,0.000289,0.038269,0.000318,0.041977,0.000254,0.046312,0.000239,0.529935,0.000554,0.040499,0.000212,0.04478,0.000315,0.176771,0.000167,0.601067,6.7e-05,0.108333,0.023043
proposed_contact_mode_boundary_atlas_v4,unseen_compliance,10,0.606875,0.014911,0.652227,0.014785,0.512648,0.000537,0.207293,0.000287,0.051417,0.000294,0.05475,0.000385,0.025105,0.000179,0.041847,0.000162,0.03297,0.000233,0.047524,0.000312,0.525436,0.000663,0.04169,0.000192,0.046938,0.000232,0.178487,0.000267,0.596138,5.9e-05,0.116667,0.023155
proposed_contact_mode_boundary_atlas_v4,actuator_latency,10,0.610833,0.011154,0.655892,0.010899,0.513943,0.000458,0.20746,0.000459,0.051137,0.000324,0.054284,0.000337,0.027717,0.000386,0.038918,0.000217,0.032555,0.000275,0.053577,0.000269,0.526196,0.000504,0.041586,0.00024,0.047149,0.000317,0.178753,0.000151,0.596118,5.8e-05,0.1125,0.010906
proposed_contact_mode_boundary_atlas_v4,sensor_dropout,10,0.600417,0.011498,0.64262,0.01148,0.492176,0.000639,0.205959,0.00049,0.051593,0.000247,0.054962,0.000347,0.025873,0.000337,0.039942,0.000174,0.034085,0.000416,0.052994,0.00037,0.502466,0.000348,0.041875,0.000304,0.047669,0.000256,0.179722,0.000178,0.593146,4.3e-05,0.134167,0.01777
proposed_contact_mode_boundary_atlas_v4,heldout_mixed_non_smooth_stress,10,0.592083,0.014982,0.630713,0.01452,0.496142,0.000448,0.212833,0.000249,0.056223,0.000284,0.060113,0.000327,0.029465,0.000334,0.044689,0.000276,0.044312,0.000294,0.053923,0.000418,0.502321,0.000457,0.045331,0.000201,0.053619,0.000203,0.185233,0.000201,0.576906,5.9e-05,0.106875,0.018524
contact_mode_boundary_audit_v5,nominal,10,0.724167,0.012009,0.810559,0.011008,0.624398,0.000275,0.163095,0.000387,0.028967,0.000332,0.034588,0.000162,0.005277,0.000162,0.019379,0.000246,0.012418,0.000272,0.02284,0.000238,0.664149,0.000672,0.007154,0.00031,0.018242,0.000229,0.163744,0.000218,0.715126,5.8e-05,0.050208,0.012317
contact_mode_boundary_audit_v5,seen_contact_shift,10,0.716042,0.009645,0.797852,0.009,0.606045,0.000485,0.165853,0.000435,0.033272,0.000215,0.038721,0.000242,0.007526,0.000171,0.022143,0.000306,0.017084,0.000233,0.023382,0.00023,0.638099,0.000436,0.007936,0.000215,0.022347,0.000255,0.17175,0.000211,0.690176,4.4e-05,0.038958,0.01781
contact_mode_boundary_audit_v5,unseen_geometry,10,0.693542,0.009973,0.776557,0.008098,0.59665,0.000395,0.168164,0.000364,0.036357,0.000184,0.041563,0.00037,0.008823,0.000271,0.024322,0.000246,0.019083,0.000335,0.023625,0.000396,0.62463,0.000561,0.008221,0.000359,0.024699,0.000307,0.175454,0.000218,0.677596,8.8e-05,0.042708,0.014789
contact_mode_boundary_audit_v5,unseen_friction,10,0.700417,0.013984,0.781184,0.013405,0.591303,0.000459,0.167378,0.000314,0.036323,0.000175,0.040983,0.000199,0.009442,0.000308,0.023951,0.000309,0.027281,0.000196,0.023791,0.000196,0.617211,0.000623,0.009151,0.000284,0.0257,0.000253,0.178344,0.000197,0.670039,6e-05,0.035417,0.017934
contact_mode_boundary_audit_v5,unseen_compliance,10,0.691458,0.00934,0.771576,0.009263,0.588742,0.000392,0.169707,0.000259,0.037561,0.000335,0.04211,0.000366,0.009991,0.000282,0.025392,0.00022,0.021922,0.000275,0.024052,0.000254,0.612849,0.000452,0.009223,0.000227,0.0267,0.000269,0.1797,0.000109,0.665179,6.1e-05,0.034375,0.014498
contact_mode_boundary_audit_v5,actuator_latency,10,0.70875,0.009307,0.788882,0.007595,0.589111,0.000461,0.168752,0.000361,0.037426,0.000228,0.042049,0.000203,0.010378,0.000193,0.024504,0.000304,0.02158,0.000291,0.024896,0.000352,0.613935,0.00062,0.008784,0.000315,0.026762,0.000291,0.17918,0.000187,0.665302,5e-05,0.017917,0.01096
contact_mode_boundary_audit_v5,sensor_dropout,10,0.690208,0.014736,0.769099,0.014302,0.568128,0.000487,0.168952,0.000389,0.037636,0.000287,0.042501,0.000307,0.010058,0.000191,0.025138,0.000258,0.022378,0.000222,0.026189,0.000253,0.589727,0.00084,0.009238,0.000406,0.027298,0.00033,0.180705,0.000223,0.662171,7.4e-05,0.044583,0.022276
contact_mode_boundary_audit_v5,heldout_mixed_non_smooth_stress,10,0.689375,0.01751,0.767326,0.015924,0.572026,0.000476,0.172157,0.000472,0.04114,0.000224,0.045665,0.000318,0.011906,0.000303,0.027288,0.000372,0.02892,0.000292,0.025197,0.000307,0.589622,0.000524,0.00969,0.000261,0.029973,0.000265,0.185211,0.000136,0.646749,6.3e-05,0.017917,0.014108
oracle_contact_mode_supervisor,nominal,10,0.736667,0.0148,0.810065,0.012945,0.636446,0.000423,0.16979,0.000216,0.024719,0.000256,0.033636,0.000318,0.003783,0.000199,0.021179,0.000327,0.010655,0.000286,0.028464,0.000318,0.669347,0.000651,0.017032,0.000246,0.017079,0.000298,0.163757,0.000217,0.746623,5.7e-05,0.037708,0.013887
oracle_contact_mode_supervisor,seen_contact_shift,10,0.716667,0.011388,0.788177,0.009984,0.617787,0.0005,0.171557,0.000439,0.028121,0.000242,0.037402,0.000205,0.005457,0.00025,0.024327,0.000251,0.014299,0.000298,0.029378,0.000298,0.642958,0.000631,0.019988,0.000301,0.020322,0.00018,0.172654,0.000245,0.721782,6.9e-05,0.038958,0.01725
oracle_contact_mode_supervisor,unseen_geometry,10,0.70875,0.015154,0.777108,0.014212,0.608433,0.000403,0.173179,0.000423,0.030366,0.000242,0.040599,0.000341,0.006622,0.000235,0.0265,0.000336,0.015773,0.000272,0.030377,0.000213,0.62938,0.000579,0.021264,0.000128,0.022057,0.000305,0.177201,0.000145,0.709258,5.7e-05,0.035208,0.014965
oracle_contact_mode_supervisor,unseen_friction,10,0.709583,0.007583,0.777875,0.006944,0.603303,0.00043,0.17312,0.000303,0.030159,0.000168,0.039936,0.000215,0.006775,0.000285,0.026831,0.000347,0.021642,0.000232,0.030702,0.000251,0.622064,0.000493,0.022127,0.00029,0.02291,0.000301,0.179574,0.000185,0.701893,7.4e-05,0.025,0.011803
oracle_contact_mode_supervisor,unseen_compliance,10,0.700625,0.011192,0.768057,0.010437,0.600336,0.000401,0.175138,0.000483,0.031081,0.000203,0.040736,0.000275,0.007389,0.000394,0.028536,0.000294,0.01791,0.000393,0.031045,0.000347,0.617582,0.000518,0.022535,0.000295,0.024052,0.000319,0.181553,0.000156,0.69686,8.5e-05,0.024583,0.014682
oracle_contact_mode_supervisor,actuator_latency,10,0.705625,0.012251,0.771636,0.010842,0.601004,0.000393,0.174933,0.00029,0.031236,0.000234,0.040658,0.000198,0.008527,0.000174,0.027533,0.000178,0.017932,0.000301,0.033785,0.000249,0.618805,0.000556,0.02239,0.000311,0.024071,0.000336,0.181698,0.000154,0.696861,6.4e-05,0.020417,0.012924
oracle_contact_mode_supervisor,sensor_dropout,10,0.70125,0.011061,0.764749,0.010658,0.579727,0.00048,0.174221,0.000404,0.031454,0.000287,0.041223,0.000371,0.007743,0.000145,0.02769,0.00025,0.01822,0.000222,0.033107,0.000431,0.593932,0.000687,0.02293,0.000377,0.024061,0.000216,0.182725,0.000203,0.693848,6.4e-05,0.034792,0.017484
oracle_contact_mode_supervisor,heldout_mixed_non_smooth_stress,10,0.694583,0.020725,0.757087,0.019489,0.583703,0.000406,0.177383,0.000303,0.033798,0.00023,0.043923,0.000274,0.00956,0.000247,0.030569,0.000413,0.023485,0.000223,0.033711,0.000274,0.59447,0.000436,0.024803,0.000345,0.026337,0.000173,0.187997,0.000228,0.678499,6.5e-05,0.019375,0.01461
oracle_hybrid_contact_supervisor,nominal,10,0.774375,0.006888,0.85169,0.00561,0.660868,0.000462,0.158624,0.000266,0.021053,0.000204,0.030305,0.000242,0.001234,0.000179,0.016698,0.000468,0.007829,0.000196,0.025777,0.00027,0.705834,0.000499,0.011626,0.000386,0.014085,0.000353,0.167973,0.000278,0.777869,5.2e-05,0.0,0.0
oracle_hybrid_contact_supervisor,seen_contact_shift,10,0.752292,0.015925,0.826724,0.0139,0.641991,0.000419,0.160182,0.000182,0.023474,0.000282,0.032887,0.000312,0.001722,0.00022,0.019495,0.000331,0.010918,0.000205,0.026309,0.000315,0.679142,0.000601,0.013186,0.000339,0.016025,0.000326,0.177142,0.000215,0.753267,6.7e-05,0.0,0.0
oracle_hybrid_contact_supervisor,unseen_geometry,10,0.73625,0.012771,0.809364,0.011555,0.633118,0.000704,0.161099,0.000411,0.025123,0.000322,0.034906,0.000273,0.002281,0.000125,0.021088,0.000299,0.011904,0.00023,0.027018,0.000238,0.665307,0.000418,0.014338,0.000312,0.017117,0.000205,0.181712,0.000193,0.740915,5.3e-05,0.0,0.0
oracle_hybrid_contact_supervisor,unseen_friction,10,0.729375,0.015247,0.802541,0.013474,0.627849,0.000477,0.160966,0.000284,0.025348,0.000351,0.03462,0.000332,0.002182,0.000239,0.021217,0.000254,0.01543,0.000211,0.027291,0.000335,0.658099,0.000609,0.014591,0.000258,0.017779,0.000325,0.184022,0.000242,0.733802,4.2e-05,0.0,0.0
oracle_hybrid_contact_supervisor,unseen_compliance,10,0.723542,0.014786,0.796688,0.012981,0.625009,0.000384,0.161639,0.00034,0.025683,0.000327,0.035198,0.000131,0.002522,0.000155,0.022593,0.000231,0.013219,0.000146,0.027265,0.000199,0.653805,0.000565,0.014855,0.000259,0.018226,0.000276,0.185946,0.000189,0.728733,5.6e-05,0.0,0.0
oracle_hybrid_contact_supervisor,actuator_latency,10,0.723333,0.010987,0.797656,0.009957,0.625768,0.00049,0.161696,0.000226,0.025989,0.000243,0.035285,0.000271,0.002921,0.000111,0.021794,0.000175,0.013288,0.000299,0.028499,0.000289,0.65503,0.000551,0.01484,0.000287,0.01825,0.000288,0.185972,0.000203,0.728821,5.4e-05,0.0,0.0
oracle_hybrid_contact_supervisor,sensor_dropout,10,0.734583,0.014535,0.803924,0.012559,0.604774,0.00056,0.161428,0.000346,0.025853,0.00024,0.035402,0.00023,0.002642,0.000206,0.021979,0.000172,0.013718,0.000304,0.028365,0.000238,0.630321,0.00062,0.015116,0.000311,0.018519,0.000263,0.187216,0.0002,0.725728,4.1e-05,0.0,0.0
oracle_hybrid_contact_supervisor,heldout_mixed_non_smooth_stress,10,0.698958,0.011649,0.770519,0.011322,0.608168,0.000424,0.162667,0.000361,0.02773,0.000232,0.037151,0.000243,0.003327,0.000223,0.024189,0.000224,0.01683,0.000284,0.028626,0.000337,0.63062,0.000813,0.015931,0.000174,0.019665,0.00027,0.192337,0.000152,0.710773,7.3e-05,0.0,0.0
