method,split,seed,success,success_ci95,contact_mode_f1,contact_mode_f1_ci95,boundary_error,boundary_error_ci95,unsafe_impulse,unsafe_impulse_ci95,jam_rate,jam_rate_ci95,slip_overshoot,slip_overshoot_ci95,intervention_cost,intervention_cost_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups,regret_to_oracle
no_contact_behavior_clone,nominal,0,0.4483,0.0219,0.2456,0.0044,0.3255,0.0086,0.078,0.0071,0.086,0.0066,0.0553,0.0051,0.121,0.0011,0.2623,0.0036,35,0.2643
no_contact_behavior_clone,nominal,1,0.4531,0.0208,0.2464,0.0034,0.3234,0.0081,0.0772,0.007,0.0848,0.0061,0.0558,0.0048,0.121,0.0011,0.2601,0.0025,35,0.2735
no_contact_behavior_clone,nominal,2,0.4364,0.0204,0.2455,0.0041,0.3225,0.0079,0.0779,0.007,0.0836,0.0063,0.0558,0.0042,0.121,0.0011,0.2629,0.0028,35,0.284
no_contact_behavior_clone,nominal,3,0.4452,0.0218,0.2438,0.0035,0.3234,0.0085,0.0779,0.0067,0.0863,0.0063,0.0548,0.0053,0.121,0.0011,0.2648,0.0025,35,0.266
no_contact_behavior_clone,nominal,4,0.4524,0.0195,0.2446,0.0034,0.323,0.0079,0.0776,0.0067,0.0837,0.0065,0.0548,0.0049,0.121,0.0011,0.264,0.0032,35,0.267
no_contact_behavior_clone,nominal,5,0.4347,0.0213,0.2455,0.0029,0.3232,0.0083,0.0769,0.007,0.0857,0.006,0.0561,0.0056,0.121,0.0011,0.2627,0.0028,35,0.2663
no_contact_behavior_clone,nominal,6,0.4422,0.0237,0.2453,0.0027,0.3235,0.0084,0.0766,0.0063,0.085,0.0063,0.0554,0.0055,0.121,0.0011,0.2601,0.003,35,0.2718
no_contact_behavior_clone,seen_shift,0,0.4024,0.0208,0.233,0.0033,0.3431,0.01,0.0953,0.0091,0.1045,0.0076,0.0774,0.0061,0.1332,0.0014,0.2522,0.003,35,0.2823
no_contact_behavior_clone,seen_shift,1,0.4027,0.0204,0.2345,0.0032,0.343,0.0098,0.0962,0.0092,0.1053,0.0076,0.0785,0.006,0.1332,0.0014,0.2503,0.003,35,0.2905
no_contact_behavior_clone,seen_shift,2,0.3983,0.0224,0.2295,0.0029,0.3436,0.0098,0.095,0.0091,0.1062,0.0078,0.0774,0.0063,0.1332,0.0014,0.2526,0.0024,35,0.2724
no_contact_behavior_clone,seen_shift,3,0.3986,0.0195,0.2334,0.0029,0.3436,0.0093,0.0959,0.0091,0.1064,0.0075,0.0772,0.006,0.1332,0.0014,0.2504,0.002,35,0.2946
no_contact_behavior_clone,seen_shift,4,0.3946,0.0213,0.232,0.0034,0.3413,0.0102,0.0949,0.0095,0.1052,0.0073,0.0775,0.0059,0.1332,0.0014,0.2516,0.0031,35,0.2959
no_contact_behavior_clone,seen_shift,5,0.3973,0.0225,0.2309,0.0033,0.3442,0.01,0.0961,0.009,0.1043,0.0077,0.0775,0.0062,0.1332,0.0014,0.2491,0.0031,35,0.2772
no_contact_behavior_clone,seen_shift,6,0.4109,0.0195,0.2335,0.0035,0.3424,0.0102,0.0954,0.0089,0.1044,0.0079,0.077,0.0062,0.1332,0.0014,0.2536,0.0024,35,0.2837
no_contact_behavior_clone,unseen_geometry,0,0.3544,0.0257,0.2271,0.0031,0.3599,0.0117,0.1107,0.0117,0.1222,0.0097,0.0827,0.0055,0.1393,0.0015,0.2462,0.0017,35,0.2969
no_contact_behavior_clone,unseen_geometry,1,0.3782,0.0191,0.2261,0.0038,0.3593,0.0114,0.1113,0.0112,0.1207,0.0099,0.083,0.006,0.1393,0.0015,0.2451,0.0029,35,0.2857
no_contact_behavior_clone,unseen_geometry,2,0.3503,0.0175,0.2257,0.0031,0.3589,0.012,0.1125,0.0117,0.1205,0.0098,0.0834,0.0066,0.1393,0.0015,0.2482,0.0025,35,0.3071
no_contact_behavior_clone,unseen_geometry,3,0.3639,0.0225,0.2258,0.0028,0.359,0.0115,0.1126,0.0114,0.1205,0.0095,0.0825,0.006,0.1393,0.0015,0.2451,0.0027,35,0.3037
no_contact_behavior_clone,unseen_geometry,4,0.3629,0.0254,0.2303,0.0035,0.3597,0.012,0.1113,0.0113,0.1222,0.0102,0.0842,0.006,0.1393,0.0015,0.2468,0.0018,35,0.301
no_contact_behavior_clone,unseen_geometry,5,0.365,0.0276,0.2267,0.0033,0.3589,0.0114,0.1112,0.0114,0.122,0.0099,0.0849,0.0058,0.1393,0.0015,0.2473,0.0025,35,0.3075
no_contact_behavior_clone,unseen_geometry,6,0.367,0.0234,0.2237,0.0028,0.3583,0.0122,0.1125,0.0118,0.12,0.0098,0.0824,0.0061,0.1393,0.0015,0.2444,0.003,35,0.3044
no_contact_behavior_clone,unseen_friction,0,0.3612,0.0203,0.2217,0.0034,0.3634,0.0118,0.1056,0.0102,0.1179,0.008,0.1313,0.0091,0.1428,0.0016,0.2427,0.0027,35,0.3037
no_contact_behavior_clone,unseen_friction,1,0.3415,0.0181,0.2247,0.0037,0.3642,0.0115,0.1065,0.0102,0.1156,0.0078,0.1301,0.009,0.1428,0.0016,0.2406,0.0025,35,0.3194
no_contact_behavior_clone,unseen_friction,2,0.3534,0.0217,0.2212,0.0033,0.3627,0.0114,0.1047,0.0101,0.1176,0.0088,0.1302,0.0086,0.1428,0.0016,0.243,0.0032,35,0.2993
no_contact_behavior_clone,unseen_friction,3,0.3653,0.0198,0.2222,0.0025,0.3613,0.0116,0.1057,0.01,0.1186,0.0077,0.1299,0.0087,0.1428,0.0016,0.2446,0.0025,35,0.2789
no_contact_behavior_clone,unseen_friction,4,0.3575,0.0219,0.2231,0.0033,0.3612,0.0113,0.1053,0.0098,0.1166,0.0085,0.131,0.0085,0.1428,0.0016,0.2421,0.0031,35,0.2942
no_contact_behavior_clone,unseen_friction,5,0.349,0.022,0.2245,0.0032,0.364,0.0117,0.1063,0.01,0.1171,0.0078,0.13,0.009,0.1428,0.0016,0.2455,0.0026,35,0.3092
no_contact_behavior_clone,unseen_friction,6,0.3578,0.0244,0.2211,0.0034,0.3649,0.0112,0.1058,0.0102,0.1176,0.0082,0.1309,0.0086,0.1428,0.0016,0.2414,0.0028,35,0.302
no_contact_behavior_clone,combined_stress,0,0.3095,0.0263,0.2132,0.0033,0.3817,0.0129,0.1245,0.0128,0.1389,0.01,0.1332,0.0083,0.1533,0.0018,0.2327,0.0028,35,0.3099
no_contact_behavior_clone,combined_stress,1,0.3088,0.0273,0.2096,0.0038,0.3817,0.0129,0.125,0.0134,0.1377,0.0103,0.1312,0.0083,0.1533,0.0018,0.2352,0.0021,35,0.3231
no_contact_behavior_clone,combined_stress,2,0.3262,0.018,0.2084,0.0031,0.3807,0.0133,0.126,0.0134,0.1392,0.0105,0.1325,0.0078,0.1533,0.0018,0.233,0.0028,35,0.3031
no_contact_behavior_clone,combined_stress,3,0.3061,0.0222,0.2074,0.0033,0.3795,0.0141,0.1262,0.0128,0.138,0.0103,0.1341,0.0085,0.1533,0.0018,0.2321,0.0026,35,0.3214
no_contact_behavior_clone,combined_stress,4,0.3146,0.0222,0.2098,0.0034,0.3813,0.013,0.1255,0.0131,0.1393,0.01,0.1335,0.0088,0.1533,0.0018,0.2329,0.0024,35,0.3058
no_contact_behavior_clone,combined_stress,5,0.3252,0.0208,0.211,0.0034,0.3803,0.0131,0.1249,0.013,0.1387,0.0101,0.1331,0.0086,0.1533,0.0018,0.2352,0.0026,35,0.3058
no_contact_behavior_clone,combined_stress,6,0.3088,0.0218,0.2105,0.0037,0.3811,0.0137,0.1257,0.0133,0.1394,0.0102,0.1337,0.0085,0.1533,0.0018,0.2339,0.0027,35,0.3272
domain_randomization,nominal,0,0.5054,0.0202,0.3292,0.003,0.3096,0.0071,0.0719,0.006,0.0824,0.0056,0.0516,0.0043,0.1292,0.0011,0.3289,0.0027,35,0.2071
domain_randomization,nominal,1,0.5065,0.0202,0.3305,0.003,0.3081,0.0061,0.0727,0.0057,0.082,0.0061,0.0509,0.0046,0.1292,0.0011,0.33,0.0026,35,0.2201
domain_randomization,nominal,2,0.5146,0.0193,0.3284,0.0039,0.3078,0.0064,0.0732,0.0058,0.0814,0.006,0.0505,0.0041,0.1292,0.0011,0.3316,0.0027,35,0.2058
domain_randomization,nominal,3,0.5207,0.0157,0.331,0.0033,0.3076,0.0073,0.0721,0.0057,0.0801,0.0057,0.0504,0.0042,0.1292,0.0011,0.3313,0.0029,35,0.1905
domain_randomization,nominal,4,0.4952,0.0194,0.3275,0.0027,0.3074,0.0071,0.0718,0.006,0.0819,0.0059,0.0507,0.0039,0.1292,0.0011,0.33,0.0024,35,0.2241
domain_randomization,nominal,5,0.518,0.0211,0.3282,0.0034,0.3077,0.0068,0.0713,0.006,0.0824,0.0059,0.0513,0.0042,0.1292,0.0011,0.3289,0.0027,35,0.183
domain_randomization,nominal,6,0.5099,0.017,0.3322,0.0037,0.3084,0.0072,0.0719,0.0057,0.0805,0.0056,0.0516,0.0044,0.1292,0.0011,0.331,0.0026,35,0.2041
domain_randomization,seen_shift,0,0.4667,0.0215,0.3152,0.003,0.3234,0.0082,0.0872,0.0077,0.1,0.0066,0.0696,0.0051,0.1414,0.0014,0.3187,0.0029,35,0.218
domain_randomization,seen_shift,1,0.4718,0.0236,0.321,0.0032,0.3247,0.0086,0.0879,0.0079,0.1007,0.0066,0.0693,0.0047,0.1414,0.0014,0.3165,0.0031,35,0.2214
domain_randomization,seen_shift,2,0.4731,0.0215,0.3175,0.0032,0.3254,0.0089,0.0878,0.0077,0.1006,0.0067,0.0707,0.0051,0.1414,0.0014,0.3188,0.0032,35,0.1976
domain_randomization,seen_shift,3,0.4578,0.0207,0.3175,0.0037,0.3265,0.0088,0.0879,0.0078,0.0995,0.0072,0.0707,0.0045,0.1414,0.0014,0.3173,0.0028,35,0.2354
domain_randomization,seen_shift,4,0.466,0.0181,0.3175,0.0032,0.3263,0.0082,0.0876,0.0079,0.1005,0.0065,0.0692,0.0052,0.1414,0.0014,0.3186,0.0024,35,0.2245
domain_randomization,seen_shift,5,0.4721,0.0188,0.3167,0.003,0.3263,0.0087,0.0883,0.0083,0.0994,0.0071,0.0692,0.0049,0.1414,0.0014,0.319,0.0027,35,0.2024
domain_randomization,seen_shift,6,0.4684,0.0191,0.3172,0.0029,0.3249,0.0085,0.086,0.008,0.1,0.0066,0.0695,0.0054,0.1414,0.0014,0.3181,0.0022,35,0.2262
domain_randomization,unseen_geometry,0,0.4262,0.0286,0.312,0.0027,0.3386,0.0103,0.102,0.0099,0.1154,0.0086,0.0758,0.0053,0.1475,0.0015,0.3128,0.0024,35,0.2252
domain_randomization,unseen_geometry,1,0.4371,0.0214,0.3119,0.0034,0.338,0.0098,0.1023,0.0105,0.116,0.0085,0.074,0.0056,0.1475,0.0015,0.3125,0.0026,35,0.2269
domain_randomization,unseen_geometry,2,0.4408,0.0296,0.3114,0.0031,0.3412,0.0101,0.101,0.0099,0.1161,0.0086,0.0756,0.0054,0.1475,0.0015,0.3152,0.0026,35,0.2167
domain_randomization,unseen_geometry,3,0.4296,0.0198,0.3104,0.0037,0.3394,0.01,0.1008,0.0102,0.1141,0.0083,0.0754,0.005,0.1475,0.0015,0.3123,0.0023,35,0.2381
domain_randomization,unseen_geometry,4,0.4548,0.0219,0.3099,0.0035,0.3384,0.0105,0.1002,0.0101,0.113,0.0088,0.0763,0.0054,0.1475,0.0015,0.3134,0.0029,35,0.2092
domain_randomization,unseen_geometry,5,0.4316,0.0209,0.3114,0.0032,0.3407,0.0101,0.1016,0.0102,0.114,0.0081,0.077,0.0056,0.1475,0.0015,0.3116,0.0028,35,0.2408
domain_randomization,unseen_geometry,6,0.4395,0.022,0.3116,0.0035,0.3376,0.0107,0.1015,0.0107,0.1145,0.0084,0.075,0.0054,0.1475,0.0015,0.3137,0.0028,35,0.232
domain_randomization,unseen_friction,0,0.4425,0.0263,0.3086,0.0037,0.3435,0.0097,0.0958,0.0088,0.1113,0.0069,0.1173,0.0073,0.151,0.0016,0.3094,0.0027,35,0.2224
domain_randomization,unseen_friction,1,0.4388,0.0185,0.3069,0.0029,0.342,0.0099,0.0954,0.0088,0.1121,0.007,0.1148,0.0075,0.151,0.0016,0.3095,0.0026,35,0.2221
domain_randomization,unseen_friction,2,0.4126,0.0169,0.3063,0.0028,0.3413,0.0102,0.0962,0.0087,0.1124,0.0063,0.1149,0.0075,0.151,0.0016,0.3101,0.0026,35,0.2401
domain_randomization,unseen_friction,3,0.4282,0.0219,0.3095,0.0037,0.3409,0.0103,0.0962,0.0088,0.1139,0.0072,0.1167,0.0073,0.151,0.0016,0.3102,0.0018,35,0.216
domain_randomization,unseen_friction,4,0.4126,0.0206,0.3068,0.0026,0.3412,0.0105,0.0971,0.0088,0.1131,0.0067,0.1154,0.0073,0.151,0.0016,0.3116,0.0027,35,0.2391
domain_randomization,unseen_friction,5,0.4235,0.0182,0.3086,0.0025,0.3397,0.0096,0.0974,0.0093,0.1117,0.0071,0.1172,0.0073,0.151,0.0016,0.31,0.0025,35,0.2347
domain_randomization,unseen_friction,6,0.4214,0.0241,0.3087,0.0029,0.3403,0.0105,0.0968,0.0091,0.1111,0.0077,0.1168,0.0071,0.151,0.0016,0.3111,0.0019,35,0.2384
domain_randomization,combined_stress,0,0.3796,0.0208,0.2938,0.0035,0.3565,0.0109,0.1122,0.0117,0.1304,0.009,0.1178,0.007,0.1615,0.0018,0.2989,0.0023,35,0.2398
domain_randomization,combined_stress,1,0.3847,0.0234,0.2919,0.0032,0.3566,0.0115,0.1137,0.0113,0.1314,0.0084,0.1185,0.0072,0.1615,0.0018,0.3009,0.0024,35,0.2473
domain_randomization,combined_stress,2,0.3861,0.0215,0.2945,0.0043,0.3556,0.0112,0.1141,0.0114,0.1323,0.0086,0.1189,0.0074,0.1615,0.0018,0.3003,0.0027,35,0.2432
domain_randomization,combined_stress,3,0.3895,0.0244,0.2926,0.0029,0.3551,0.0113,0.1125,0.0117,0.1323,0.0089,0.1187,0.0076,0.1615,0.0018,0.3013,0.0024,35,0.2381
domain_randomization,combined_stress,4,0.3813,0.0234,0.2927,0.0028,0.3566,0.0117,0.1135,0.0117,0.1322,0.0083,0.1204,0.0069,0.1615,0.0018,0.3019,0.0031,35,0.2391
domain_randomization,combined_stress,5,0.3949,0.0203,0.2949,0.0032,0.3562,0.0116,0.114,0.0112,0.1321,0.0082,0.1209,0.0077,0.1615,0.0018,0.3,0.0026,35,0.2361
domain_randomization,combined_stress,6,0.3827,0.0177,0.2955,0.0036,0.3555,0.0113,0.1129,0.011,0.1325,0.0085,0.1193,0.0077,0.1615,0.0018,0.3,0.0022,35,0.2534
diffusion_policy_surrogate,nominal,0,0.5429,0.018,0.3558,0.0043,0.3028,0.0071,0.0716,0.0058,0.08,0.0051,0.0512,0.0038,0.1388,0.0011,0.3568,0.0032,35,0.1697
diffusion_policy_surrogate,nominal,1,0.5422,0.0249,0.356,0.003,0.3037,0.0069,0.0723,0.0062,0.0792,0.0053,0.0521,0.0036,0.1388,0.0011,0.3553,0.0026,35,0.1844
diffusion_policy_surrogate,nominal,2,0.5575,0.016,0.3542,0.0031,0.3032,0.0067,0.0725,0.0058,0.079,0.0054,0.049,0.0042,0.1388,0.0011,0.3574,0.0024,35,0.1629
diffusion_policy_surrogate,nominal,3,0.5565,0.0208,0.3532,0.0024,0.3041,0.0069,0.0724,0.0058,0.0807,0.0058,0.051,0.0038,0.1388,0.0011,0.3568,0.0028,35,0.1548
diffusion_policy_surrogate,nominal,4,0.534,0.0222,0.3521,0.0035,0.3042,0.0065,0.0707,0.0061,0.0787,0.005,0.0519,0.0046,0.1388,0.0011,0.3567,0.0027,35,0.1854
diffusion_policy_surrogate,nominal,5,0.5446,0.0212,0.3562,0.0032,0.3027,0.0067,0.072,0.0061,0.0802,0.0052,0.0512,0.0044,0.1388,0.0011,0.3571,0.0029,35,0.1565
diffusion_policy_surrogate,nominal,6,0.5327,0.0183,0.3548,0.0038,0.3022,0.0067,0.0728,0.0061,0.0801,0.0055,0.0499,0.0043,0.1388,0.0011,0.3572,0.0032,35,0.1813
diffusion_policy_surrogate,seen_shift,0,0.4748,0.0247,0.3421,0.0035,0.3205,0.0082,0.0888,0.0079,0.0973,0.0066,0.0698,0.005,0.151,0.0014,0.348,0.0025,35,0.2099
diffusion_policy_surrogate,seen_shift,1,0.5088,0.0182,0.3413,0.0028,0.3204,0.0081,0.089,0.0086,0.0966,0.0066,0.0704,0.005,0.151,0.0014,0.346,0.0028,35,0.1844
diffusion_policy_surrogate,seen_shift,2,0.5075,0.0214,0.3433,0.0041,0.3188,0.0078,0.0882,0.0082,0.0975,0.0062,0.0709,0.0045,0.151,0.0014,0.3477,0.0031,35,0.1633
diffusion_policy_surrogate,seen_shift,3,0.4905,0.0208,0.3433,0.0033,0.3156,0.0088,0.0886,0.0078,0.0992,0.006,0.0714,0.005,0.151,0.0014,0.3445,0.0021,35,0.2027
diffusion_policy_surrogate,seen_shift,4,0.4959,0.0229,0.3415,0.003,0.3172,0.0075,0.0878,0.0078,0.0983,0.0068,0.0697,0.0053,0.151,0.0014,0.3454,0.0025,35,0.1946
diffusion_policy_surrogate,seen_shift,5,0.4728,0.0225,0.3423,0.0029,0.3213,0.0083,0.0889,0.008,0.0982,0.0065,0.0692,0.0052,0.151,0.0014,0.3484,0.0033,35,0.2017
diffusion_policy_surrogate,seen_shift,6,0.4959,0.0214,0.34,0.0033,0.3188,0.0088,0.0895,0.0083,0.0977,0.0064,0.0705,0.0053,0.151,0.0014,0.3457,0.0026,35,0.1986
diffusion_policy_surrogate,unseen_geometry,0,0.4456,0.0219,0.3341,0.0034,0.332,0.0102,0.1036,0.01,0.1105,0.0079,0.0764,0.005,0.1572,0.0015,0.3396,0.0022,35,0.2058
diffusion_policy_surrogate,unseen_geometry,1,0.465,0.0244,0.3375,0.0041,0.3301,0.0097,0.1031,0.0104,0.1122,0.0078,0.0752,0.0056,0.1572,0.0015,0.3411,0.0027,35,0.199
diffusion_policy_surrogate,unseen_geometry,2,0.4626,0.0248,0.3382,0.0032,0.33,0.0098,0.1037,0.0108,0.1137,0.0085,0.0748,0.0055,0.1572,0.0015,0.3439,0.0028,35,0.1949
diffusion_policy_surrogate,unseen_geometry,3,0.4595,0.0178,0.3369,0.0033,0.3314,0.0091,0.1028,0.0106,0.1124,0.0079,0.0775,0.0053,0.1572,0.0015,0.3399,0.0028,35,0.2082
diffusion_policy_surrogate,unseen_geometry,4,0.4622,0.0257,0.3377,0.0033,0.3319,0.0095,0.1035,0.0106,0.1125,0.0081,0.0776,0.0053,0.1572,0.0015,0.3411,0.0032,35,0.2017
diffusion_policy_surrogate,unseen_geometry,5,0.4452,0.0213,0.3356,0.0029,0.3298,0.01,0.105,0.0113,0.1126,0.0077,0.0747,0.0051,0.1572,0.0015,0.3384,0.0028,35,0.2272
diffusion_policy_surrogate,unseen_geometry,6,0.4551,0.0211,0.3371,0.0036,0.3301,0.0098,0.1039,0.0103,0.1114,0.008,0.0752,0.0054,0.1572,0.0015,0.3397,0.0026,35,0.2163
diffusion_policy_surrogate,unseen_friction,0,0.4701,0.019,0.3326,0.003,0.3334,0.0093,0.0985,0.0092,0.1104,0.0068,0.1153,0.0072,0.1606,0.0016,0.3395,0.0031,35,0.1949
diffusion_policy_surrogate,unseen_friction,1,0.4497,0.0203,0.3318,0.003,0.3343,0.0095,0.1,0.0092,0.1092,0.0065,0.114,0.0077,0.1606,0.0016,0.339,0.0027,35,0.2112
diffusion_policy_surrogate,unseen_friction,2,0.4534,0.0189,0.3344,0.0029,0.335,0.0094,0.0979,0.0092,0.1088,0.0067,0.1149,0.007,0.1606,0.0016,0.3391,0.0026,35,0.1993
diffusion_policy_surrogate,unseen_friction,3,0.4507,0.0238,0.3312,0.0038,0.3335,0.0099,0.0983,0.009,0.111,0.0065,0.1137,0.0075,0.1606,0.0016,0.3369,0.0031,35,0.1935
diffusion_policy_surrogate,unseen_friction,4,0.4554,0.0221,0.3327,0.0038,0.3361,0.0092,0.099,0.0092,0.1099,0.0067,0.115,0.0076,0.1606,0.0016,0.3368,0.0031,35,0.1963
diffusion_policy_surrogate,unseen_friction,5,0.4524,0.0258,0.3309,0.0032,0.3349,0.0094,0.098,0.0094,0.1096,0.0068,0.1151,0.0079,0.1606,0.0016,0.3391,0.0024,35,0.2058
diffusion_policy_surrogate,unseen_friction,6,0.4415,0.0211,0.3298,0.0036,0.3351,0.0094,0.0986,0.0091,0.1101,0.0073,0.1143,0.0074,0.1606,0.0016,0.338,0.0023,35,0.2184
diffusion_policy_surrogate,combined_stress,0,0.4129,0.0207,0.3191,0.0034,0.3486,0.0107,0.1164,0.0122,0.1299,0.0081,0.1186,0.0073,0.1711,0.0018,0.3268,0.0028,35,0.2065
diffusion_policy_surrogate,combined_stress,1,0.4095,0.0237,0.3201,0.0031,0.3499,0.0112,0.1179,0.012,0.1295,0.0084,0.1175,0.0072,0.1711,0.0018,0.3283,0.0024,35,0.2224
diffusion_policy_surrogate,combined_stress,2,0.4099,0.0262,0.3201,0.0035,0.3484,0.011,0.1169,0.0119,0.1283,0.0077,0.1189,0.0077,0.1711,0.0018,0.3288,0.0025,35,0.2194
diffusion_policy_surrogate,combined_stress,3,0.4136,0.0237,0.3181,0.0034,0.3495,0.0107,0.1166,0.0119,0.1298,0.0083,0.1184,0.0074,0.1711,0.0018,0.3293,0.0028,35,0.2139
diffusion_policy_surrogate,combined_stress,4,0.4143,0.0228,0.3182,0.003,0.3491,0.0114,0.1166,0.0118,0.1305,0.0082,0.1199,0.0076,0.1711,0.0018,0.3286,0.0033,35,0.2061
diffusion_policy_surrogate,combined_stress,5,0.4099,0.0192,0.3183,0.0026,0.3487,0.011,0.1165,0.012,0.13,0.0082,0.1201,0.007,0.1711,0.0018,0.3284,0.0022,35,0.2211
diffusion_policy_surrogate,combined_stress,6,0.4095,0.0248,0.3182,0.0034,0.3492,0.0116,0.1153,0.0118,0.1286,0.0082,0.1196,0.007,0.1711,0.0018,0.3291,0.0027,35,0.2265
robotics_transformer_surrogate,nominal,0,0.5401,0.015,0.3781,0.003,0.2977,0.0061,0.0691,0.0053,0.0783,0.0046,0.0493,0.004,0.1484,0.0011,0.3769,0.0025,35,0.1724
