method,split,seed,success,success_ci95,contact_mode_f1,contact_mode_f1_ci95,boundary_error,boundary_error_ci95,unsafe_impulse,unsafe_impulse_ci95,jam_rate,jam_rate_ci95,slip_overshoot,slip_overshoot_ci95,intervention_cost,intervention_cost_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups,regret_to_oracle
robotics_transformer_surrogate,nominal,1,0.5599,0.018,0.3782,0.0032,0.2967,0.0067,0.0702,0.0056,0.0785,0.005,0.0497,0.004,0.1484,0.0011,0.3746,0.0021,35,0.1667
robotics_transformer_surrogate,nominal,2,0.5422,0.0215,0.3799,0.0035,0.2986,0.007,0.0694,0.0058,0.0777,0.0051,0.0499,0.0047,0.1484,0.0011,0.3754,0.0029,35,0.1782
robotics_transformer_surrogate,nominal,3,0.5493,0.0177,0.3774,0.0031,0.2956,0.0066,0.0692,0.0058,0.0794,0.0048,0.0504,0.0044,0.1484,0.0011,0.376,0.0023,35,0.1619
robotics_transformer_surrogate,nominal,4,0.549,0.0179,0.3807,0.0034,0.2975,0.0063,0.0689,0.0059,0.0788,0.0051,0.0487,0.0041,0.1484,0.0011,0.3761,0.0025,35,0.1704
robotics_transformer_surrogate,nominal,5,0.5565,0.0199,0.3766,0.0032,0.2977,0.0061,0.0697,0.006,0.0786,0.005,0.0502,0.0039,0.1484,0.0011,0.3751,0.0025,35,0.1446
robotics_transformer_surrogate,nominal,6,0.5384,0.0212,0.3785,0.0033,0.2993,0.0065,0.07,0.0057,0.0783,0.0052,0.0493,0.004,0.1484,0.0011,0.3745,0.0027,35,0.1755
robotics_transformer_surrogate,seen_shift,0,0.4932,0.0204,0.3639,0.0042,0.3142,0.0079,0.0855,0.0076,0.0961,0.0062,0.0683,0.0048,0.1607,0.0014,0.3646,0.0028,35,0.1915
robotics_transformer_surrogate,seen_shift,1,0.4949,0.0208,0.3657,0.004,0.3111,0.0077,0.0853,0.0077,0.0964,0.0059,0.0693,0.0052,0.1607,0.0014,0.3623,0.0026,35,0.1983
robotics_transformer_surrogate,seen_shift,2,0.5054,0.0222,0.3698,0.0036,0.3126,0.0079,0.086,0.0076,0.0975,0.0065,0.0672,0.0049,0.1607,0.0014,0.3653,0.0028,35,0.1653
robotics_transformer_surrogate,seen_shift,3,0.5095,0.0164,0.3664,0.0036,0.3113,0.0073,0.0859,0.0076,0.0945,0.0062,0.068,0.0048,0.1607,0.0014,0.3645,0.0032,35,0.1837
robotics_transformer_surrogate,seen_shift,4,0.5122,0.0216,0.3681,0.0035,0.3118,0.0074,0.0862,0.0075,0.095,0.006,0.0685,0.0048,0.1607,0.0014,0.3659,0.0028,35,0.1782
robotics_transformer_surrogate,seen_shift,5,0.5054,0.0188,0.3662,0.0034,0.3142,0.0076,0.0857,0.0078,0.0953,0.006,0.0699,0.0055,0.1607,0.0014,0.3647,0.0029,35,0.169
robotics_transformer_surrogate,seen_shift,6,0.4997,0.0207,0.3662,0.0037,0.3141,0.0082,0.0848,0.0078,0.0967,0.0062,0.0681,0.0048,0.1607,0.0014,0.3653,0.0029,35,0.1949
robotics_transformer_surrogate,unseen_geometry,0,0.4779,0.0203,0.3588,0.003,0.3256,0.0089,0.0993,0.01,0.1102,0.0077,0.0744,0.0049,0.1668,0.0015,0.3617,0.0027,35,0.1735
robotics_transformer_surrogate,unseen_geometry,1,0.4844,0.0224,0.3581,0.003,0.3245,0.0091,0.0988,0.0098,0.1086,0.0075,0.0725,0.0051,0.1668,0.0015,0.3585,0.003,35,0.1796
robotics_transformer_surrogate,unseen_geometry,2,0.4803,0.0252,0.3571,0.0032,0.3246,0.0094,0.0992,0.0096,0.11,0.0081,0.074,0.0053,0.1668,0.0015,0.3608,0.0029,35,0.1772
robotics_transformer_surrogate,unseen_geometry,3,0.4677,0.0177,0.3572,0.0029,0.3265,0.0096,0.0994,0.0097,0.1113,0.0072,0.0719,0.0048,0.1668,0.0015,0.3614,0.0029,35,0.2
robotics_transformer_surrogate,unseen_geometry,4,0.4673,0.0275,0.3605,0.0034,0.3254,0.0095,0.0978,0.0101,0.1098,0.0078,0.0742,0.0052,0.1668,0.0015,0.3591,0.0026,35,0.1966
robotics_transformer_surrogate,unseen_geometry,5,0.484,0.0188,0.3562,0.0035,0.3248,0.0085,0.0982,0.0097,0.1094,0.0074,0.0737,0.0048,0.1668,0.0015,0.3602,0.0025,35,0.1884
robotics_transformer_surrogate,unseen_geometry,6,0.4833,0.0204,0.3567,0.0032,0.3248,0.0093,0.0987,0.0099,0.1105,0.0082,0.0739,0.0051,0.1668,0.0015,0.3562,0.0031,35,0.1881
robotics_transformer_surrogate,unseen_friction,0,0.4687,0.023,0.3536,0.0036,0.3278,0.0094,0.0942,0.0092,0.1086,0.006,0.1104,0.0069,0.1703,0.0016,0.3577,0.0028,35,0.1963
robotics_transformer_surrogate,unseen_friction,1,0.4724,0.0236,0.3551,0.0038,0.3291,0.0084,0.0941,0.0085,0.1082,0.0065,0.1105,0.0074,0.1703,0.0016,0.3545,0.0025,35,0.1884
robotics_transformer_surrogate,unseen_friction,2,0.4626,0.021,0.3563,0.0034,0.3279,0.0093,0.0946,0.0085,0.1082,0.0066,0.1133,0.0073,0.1703,0.0016,0.3559,0.002,35,0.1901
robotics_transformer_surrogate,unseen_friction,3,0.4646,0.023,0.3584,0.0039,0.3286,0.0091,0.0947,0.0089,0.1079,0.0066,0.1119,0.0075,0.1703,0.0016,0.3518,0.0029,35,0.1796
robotics_transformer_surrogate,unseen_friction,4,0.4653,0.0254,0.3576,0.0034,0.3281,0.0093,0.094,0.009,0.1076,0.0062,0.1116,0.0068,0.1703,0.0016,0.3563,0.0029,35,0.1864
robotics_transformer_surrogate,unseen_friction,5,0.4622,0.0198,0.3554,0.0039,0.328,0.0088,0.0937,0.0085,0.109,0.0064,0.1115,0.0071,0.1703,0.0016,0.3584,0.0022,35,0.1959
robotics_transformer_surrogate,unseen_friction,6,0.468,0.027,0.3583,0.0029,0.3282,0.0095,0.0951,0.0087,0.1074,0.0067,0.1109,0.007,0.1703,0.0016,0.3551,0.0027,35,0.1918
robotics_transformer_surrogate,combined_stress,0,0.4235,0.0198,0.3391,0.0033,0.3425,0.0099,0.1119,0.011,0.1251,0.0081,0.1141,0.0069,0.1807,0.0018,0.3462,0.0028,35,0.1959
robotics_transformer_surrogate,combined_stress,1,0.4255,0.025,0.3421,0.003,0.3416,0.0105,0.1122,0.0112,0.1259,0.0076,0.1146,0.0068,0.1807,0.0018,0.3465,0.0024,35,0.2065
robotics_transformer_surrogate,combined_stress,2,0.4347,0.0256,0.3426,0.0029,0.3421,0.0106,0.1108,0.0111,0.1262,0.0082,0.1144,0.0073,0.1807,0.0018,0.3463,0.003,35,0.1946
robotics_transformer_surrogate,combined_stress,3,0.4276,0.0223,0.3437,0.0034,0.3416,0.0107,0.1109,0.0112,0.1255,0.0084,0.1144,0.0067,0.1807,0.0018,0.3472,0.0029,35,0.2
robotics_transformer_surrogate,combined_stress,4,0.4262,0.0204,0.3426,0.0038,0.3428,0.0104,0.1119,0.0112,0.1266,0.0079,0.1149,0.0073,0.1807,0.0018,0.3481,0.0028,35,0.1942
robotics_transformer_surrogate,combined_stress,5,0.4214,0.0227,0.3428,0.0034,0.3407,0.0105,0.1122,0.0114,0.1267,0.008,0.1145,0.0069,0.1807,0.0018,0.3468,0.0018,35,0.2095
robotics_transformer_surrogate,combined_stress,6,0.433,0.0251,0.3413,0.0028,0.3434,0.0101,0.111,0.0111,0.1281,0.0078,0.1155,0.0073,0.1807,0.0018,0.347,0.0025,35,0.2031
ensemble_disagreement_planner,nominal,0,0.5602,0.0222,0.4439,0.0032,0.282,0.0061,0.0563,0.004,0.0721,0.0038,0.0465,0.0039,0.2278,0.0011,0.4383,0.0029,35,0.1524
ensemble_disagreement_planner,nominal,1,0.5391,0.0201,0.444,0.003,0.2794,0.0058,0.056,0.004,0.071,0.0044,0.0456,0.0034,0.2278,0.0011,0.4381,0.0027,35,0.1874
ensemble_disagreement_planner,nominal,2,0.5568,0.0204,0.4456,0.0034,0.2813,0.0054,0.0569,0.0038,0.0703,0.0048,0.0448,0.0037,0.2278,0.0011,0.4387,0.0027,35,0.1636
ensemble_disagreement_planner,nominal,3,0.5531,0.0139,0.4465,0.0029,0.2825,0.0047,0.0557,0.004,0.0716,0.004,0.044,0.0036,0.2278,0.0011,0.4383,0.0027,35,0.1582
ensemble_disagreement_planner,nominal,4,0.5616,0.0207,0.4462,0.0034,0.2803,0.006,0.055,0.0038,0.0727,0.0043,0.046,0.0033,0.2278,0.0011,0.4377,0.0026,35,0.1578
ensemble_disagreement_planner,nominal,5,0.5663,0.0141,0.4441,0.0032,0.2806,0.0053,0.0569,0.0043,0.0711,0.0043,0.0464,0.0037,0.2278,0.0011,0.4389,0.0022,35,0.1347
ensemble_disagreement_planner,nominal,6,0.5435,0.0167,0.4431,0.0031,0.2802,0.0059,0.0561,0.0042,0.0731,0.0043,0.0448,0.0034,0.2278,0.0011,0.4353,0.003,35,0.1704
ensemble_disagreement_planner,seen_shift,0,0.4884,0.0189,0.4316,0.0036,0.2929,0.0063,0.0666,0.0052,0.0889,0.0056,0.0598,0.004,0.24,0.0014,0.4257,0.0024,35,0.1963
ensemble_disagreement_planner,seen_shift,1,0.4976,0.019,0.4331,0.0026,0.2952,0.0065,0.0666,0.0052,0.0892,0.0055,0.0594,0.0038,0.24,0.0014,0.4273,0.0029,35,0.1956
ensemble_disagreement_planner,seen_shift,2,0.4959,0.0245,0.4323,0.0023,0.2922,0.0062,0.0671,0.0052,0.0884,0.0051,0.0608,0.0041,0.24,0.0014,0.4281,0.0028,35,0.1748
ensemble_disagreement_planner,seen_shift,3,0.5116,0.0184,0.433,0.0036,0.2935,0.0067,0.0657,0.0052,0.0895,0.0058,0.0588,0.0045,0.24,0.0014,0.4263,0.0029,35,0.1816
ensemble_disagreement_planner,seen_shift,4,0.5129,0.021,0.4319,0.0038,0.2934,0.0066,0.0655,0.005,0.0905,0.005,0.0604,0.0044,0.24,0.0014,0.4251,0.0024,35,0.1776
ensemble_disagreement_planner,seen_shift,5,0.5068,0.0176,0.433,0.0034,0.2932,0.0063,0.065,0.0057,0.0899,0.0051,0.0614,0.0038,0.24,0.0014,0.4262,0.0023,35,0.1677
ensemble_disagreement_planner,seen_shift,6,0.5017,0.0183,0.4317,0.0037,0.292,0.0071,0.0655,0.0053,0.0895,0.005,0.0606,0.0044,0.24,0.0014,0.426,0.0027,35,0.1929
ensemble_disagreement_planner,unseen_geometry,0,0.4946,0.0229,0.4263,0.0028,0.3055,0.0078,0.0765,0.0065,0.1007,0.0066,0.0626,0.0042,0.2461,0.0015,0.4221,0.0024,35,0.1568
ensemble_disagreement_planner,unseen_geometry,1,0.5003,0.0258,0.4242,0.0032,0.3041,0.0081,0.0744,0.007,0.0998,0.0075,0.0633,0.0038,0.2461,0.0015,0.4199,0.0029,35,0.1636
ensemble_disagreement_planner,unseen_geometry,2,0.5031,0.0171,0.4282,0.0032,0.3035,0.0078,0.0754,0.0064,0.1012,0.0065,0.064,0.0042,0.2461,0.0015,0.4199,0.0025,35,0.1544
ensemble_disagreement_planner,unseen_geometry,3,0.4673,0.023,0.4264,0.0029,0.3033,0.0074,0.076,0.0069,0.1015,0.0068,0.0626,0.0038,0.2461,0.0015,0.4211,0.0022,35,0.2003
ensemble_disagreement_planner,unseen_geometry,4,0.4929,0.0225,0.4253,0.0034,0.3042,0.0076,0.075,0.0065,0.1002,0.0067,0.0625,0.0046,0.2461,0.0015,0.4223,0.0024,35,0.1711
ensemble_disagreement_planner,unseen_geometry,5,0.4776,0.0169,0.4263,0.0029,0.3039,0.0081,0.0757,0.0067,0.1015,0.0072,0.0642,0.0042,0.2461,0.0015,0.4211,0.0029,35,0.1949
ensemble_disagreement_planner,unseen_geometry,6,0.4942,0.0204,0.4268,0.0032,0.3046,0.0081,0.0752,0.0068,0.1015,0.0068,0.0622,0.0044,0.2461,0.0015,0.4183,0.0029,35,0.1772
ensemble_disagreement_planner,unseen_friction,0,0.4796,0.0256,0.4237,0.0034,0.3054,0.0079,0.0721,0.006,0.0994,0.0057,0.0941,0.0056,0.2496,0.0016,0.4162,0.0025,35,0.1854
ensemble_disagreement_planner,unseen_friction,1,0.468,0.0148,0.4237,0.0036,0.3076,0.0085,0.0729,0.0058,0.0992,0.0057,0.094,0.006,0.2496,0.0016,0.4166,0.0024,35,0.1929
ensemble_disagreement_planner,unseen_friction,2,0.4762,0.0202,0.4229,0.003,0.3088,0.0073,0.0712,0.0055,0.1013,0.0055,0.0942,0.006,0.2496,0.0016,0.4185,0.0025,35,0.1765
ensemble_disagreement_planner,unseen_friction,3,0.4844,0.0206,0.4225,0.0033,0.3051,0.0078,0.0723,0.0058,0.0992,0.0052,0.0952,0.006,0.2496,0.0016,0.4164,0.0026,35,0.1599
ensemble_disagreement_planner,unseen_friction,4,0.4616,0.0187,0.4253,0.0031,0.307,0.0081,0.0709,0.0059,0.1005,0.0054,0.094,0.0062,0.2496,0.0016,0.4174,0.002,35,0.1901
ensemble_disagreement_planner,unseen_friction,5,0.4867,0.0191,0.4216,0.0035,0.3074,0.0076,0.0716,0.0058,0.0983,0.0055,0.0942,0.0059,0.2496,0.0016,0.4151,0.0027,35,0.1714
ensemble_disagreement_planner,unseen_friction,6,0.4602,0.0207,0.4231,0.0031,0.3075,0.0082,0.0721,0.0055,0.0999,0.006,0.0955,0.0062,0.2496,0.0016,0.4176,0.0022,35,0.1997
ensemble_disagreement_planner,combined_stress,0,0.4313,0.0202,0.4081,0.0039,0.3168,0.0089,0.0834,0.0073,0.1171,0.007,0.0969,0.006,0.2601,0.0018,0.4091,0.0025,35,0.1881
ensemble_disagreement_planner,combined_stress,1,0.4357,0.018,0.4091,0.0029,0.3176,0.0092,0.0833,0.0075,0.1157,0.0064,0.0969,0.0059,0.2601,0.0018,0.4097,0.0021,35,0.1963
ensemble_disagreement_planner,combined_stress,2,0.4262,0.0223,0.4105,0.0039,0.317,0.0088,0.0833,0.0072,0.1165,0.0072,0.0968,0.0064,0.2601,0.0018,0.408,0.0022,35,0.2031
ensemble_disagreement_planner,combined_stress,3,0.4371,0.0225,0.4108,0.0033,0.3168,0.0085,0.0843,0.0078,0.1161,0.0074,0.0975,0.0062,0.2601,0.0018,0.4085,0.0023,35,0.1905
ensemble_disagreement_planner,combined_stress,4,0.4296,0.0214,0.4098,0.0038,0.3163,0.0085,0.0829,0.008,0.1161,0.0073,0.0959,0.0061,0.2601,0.0018,0.4093,0.0024,35,0.1908
ensemble_disagreement_planner,combined_stress,5,0.4401,0.0176,0.4074,0.0028,0.3182,0.0084,0.0841,0.0079,0.1168,0.0076,0.0956,0.0059,0.2601,0.0018,0.4097,0.0026,35,0.1908
ensemble_disagreement_planner,combined_stress,6,0.4405,0.024,0.4078,0.0032,0.3178,0.0084,0.0836,0.0075,0.1173,0.0068,0.0957,0.0056,0.2601,0.0018,0.4067,0.0026,35,0.1956
conformal_risk_filter,nominal,0,0.5398,0.0184,0.4305,0.0022,0.285,0.0056,0.0491,0.0031,0.0727,0.0046,0.0443,0.0039,0.2576,0.0011,0.4225,0.0026,35,0.1728
conformal_risk_filter,nominal,1,0.5425,0.0202,0.4252,0.0029,0.2857,0.0052,0.0502,0.0031,0.0727,0.004,0.0455,0.0036,0.2576,0.0011,0.4176,0.0025,35,0.184
conformal_risk_filter,nominal,2,0.5582,0.015,0.4294,0.0031,0.2832,0.0056,0.0494,0.0032,0.0737,0.005,0.0446,0.0039,0.2576,0.0011,0.4179,0.0029,35,0.1622
conformal_risk_filter,nominal,3,0.5527,0.02,0.4312,0.0033,0.2847,0.0055,0.0487,0.0029,0.0741,0.0044,0.0439,0.0034,0.2576,0.0011,0.4195,0.0028,35,0.1585
conformal_risk_filter,nominal,4,0.5605,0.0217,0.4314,0.0026,0.2848,0.0056,0.0483,0.0032,0.074,0.0048,0.0446,0.0036,0.2576,0.0011,0.4193,0.0024,35,0.1588
conformal_risk_filter,nominal,5,0.5323,0.0198,0.4295,0.0031,0.285,0.006,0.0486,0.003,0.0727,0.0047,0.0435,0.0039,0.2576,0.0011,0.419,0.0022,35,0.1687
conformal_risk_filter,nominal,6,0.551,0.0175,0.4287,0.0033,0.2855,0.0058,0.0496,0.0031,0.0741,0.0044,0.0436,0.0034,0.2576,0.0011,0.417,0.0025,35,0.1629
conformal_risk_filter,seen_shift,0,0.5041,0.0238,0.4175,0.0029,0.2979,0.007,0.057,0.0041,0.0923,0.0059,0.0581,0.004,0.2698,0.0014,0.4093,0.0027,35,0.1806
conformal_risk_filter,seen_shift,1,0.5085,0.0212,0.4145,0.0033,0.2977,0.0071,0.0578,0.0039,0.091,0.0051,0.0582,0.0036,0.2698,0.0014,0.4055,0.0028,35,0.1847
conformal_risk_filter,seen_shift,2,0.5289,0.0228,0.4146,0.004,0.2961,0.007,0.0566,0.0042,0.0895,0.0055,0.0576,0.0045,0.2698,0.0014,0.4069,0.0026,35,0.1418
conformal_risk_filter,seen_shift,3,0.4959,0.0226,0.4137,0.0031,0.2982,0.0067,0.0575,0.0041,0.0918,0.0054,0.0587,0.0045,0.2698,0.0014,0.4071,0.0023,35,0.1973
conformal_risk_filter,seen_shift,4,0.5109,0.0175,0.4132,0.0033,0.2977,0.0073,0.0573,0.0038,0.0914,0.0054,0.0594,0.0045,0.2698,0.0014,0.4087,0.002,35,0.1796
conformal_risk_filter,seen_shift,5,0.5085,0.0227,0.4152,0.0035,0.2989,0.0067,0.0568,0.0044,0.0907,0.0056,0.0584,0.0039,0.2698,0.0014,0.4074,0.0025,35,0.166
conformal_risk_filter,seen_shift,6,0.4895,0.0182,0.4143,0.0028,0.2981,0.0064,0.0585,0.0038,0.0909,0.0061,0.0581,0.0043,0.2698,0.0014,0.4062,0.0024,35,0.2051
conformal_risk_filter,unseen_geometry,0,0.4847,0.0166,0.4055,0.0034,0.3102,0.0082,0.0628,0.0056,0.1025,0.0068,0.0639,0.004,0.2759,0.0015,0.4016,0.0035,35,0.1667
conformal_risk_filter,unseen_geometry,1,0.4874,0.023,0.4073,0.0034,0.3085,0.0085,0.0639,0.005,0.1042,0.0074,0.063,0.0039,0.2759,0.0015,0.4031,0.0024,35,0.1765
conformal_risk_filter,unseen_geometry,2,0.4776,0.0161,0.4104,0.0032,0.3078,0.0079,0.0645,0.0048,0.105,0.0074,0.0633,0.0039,0.2759,0.0015,0.3992,0.0031,35,0.1799
conformal_risk_filter,unseen_geometry,3,0.4622,0.0257,0.4087,0.0028,0.307,0.0078,0.0644,0.0051,0.1044,0.0072,0.0627,0.0039,0.2759,0.0015,0.4021,0.003,35,0.2054
conformal_risk_filter,unseen_geometry,4,0.4724,0.0205,0.4111,0.0028,0.3086,0.0081,0.0642,0.0051,0.1043,0.0071,0.0632,0.0044,0.2759,0.0015,0.4013,0.0025,35,0.1915
conformal_risk_filter,unseen_geometry,5,0.4759,0.0214,0.4078,0.0032,0.3075,0.0081,0.0637,0.0053,0.1037,0.0074,0.0624,0.0042,0.2759,0.0015,0.4016,0.0032,35,0.1966
conformal_risk_filter,unseen_geometry,6,0.4895,0.0202,0.4083,0.0039,0.3086,0.0081,0.065,0.0051,0.1051,0.007,0.0621,0.0045,0.2759,0.0015,0.4004,0.0029,35,0.182
conformal_risk_filter,unseen_friction,0,0.4789,0.0225,0.4079,0.0042,0.311,0.0078,0.0629,0.0048,0.1006,0.0059,0.0937,0.0056,0.2794,0.0016,0.3986,0.003,35,0.1861
conformal_risk_filter,unseen_friction,1,0.465,0.0196,0.407,0.0034,0.3113,0.0076,0.0621,0.0046,0.1035,0.0056,0.0944,0.006,0.2794,0.0016,0.3975,0.0028,35,0.1959
conformal_risk_filter,unseen_friction,2,0.4772,0.015,0.4089,0.0028,0.3105,0.0073,0.0617,0.0048,0.1024,0.0059,0.0947,0.0057,0.2794,0.0016,0.3985,0.0025,35,0.1755
conformal_risk_filter,unseen_friction,3,0.4643,0.0212,0.4072,0.003,0.3103,0.0073,0.0617,0.0044,0.1014,0.0055,0.0932,0.0064,0.2794,0.0016,0.4001,0.0025,35,0.1799
conformal_risk_filter,unseen_friction,4,0.4626,0.0198,0.4084,0.0031,0.31,0.0076,0.0609,0.0045,0.103,0.0062,0.0928,0.006,0.2794,0.0016,0.3976,0.0024,35,0.1891
conformal_risk_filter,unseen_friction,5,0.4602,0.0206,0.4082,0.0031,0.3113,0.0075,0.0615,0.0047,0.102,0.0063,0.0941,0.0058,0.2794,0.0016,0.3985,0.0023,35,0.198
conformal_risk_filter,unseen_friction,6,0.4735,0.0218,0.4037,0.0036,0.3098,0.0083,0.0609,0.0045,0.1028,0.0061,0.093,0.0052,0.2794,0.0016,0.3992,0.002,35,0.1864
conformal_risk_filter,combined_stress,0,0.4259,0.0206,0.3952,0.0034,0.3242,0.0089,0.0691,0.0053,0.1203,0.0074,0.0965,0.0056,0.2899,0.0018,0.3907,0.0029,35,0.1935
conformal_risk_filter,combined_stress,1,0.4248,0.0238,0.392,0.0031,0.3203,0.0085,0.0697,0.0057,0.1196,0.0074,0.0944,0.0057,0.2899,0.0018,0.3876,0.0024,35,0.2071
conformal_risk_filter,combined_stress,2,0.4299,0.0214,0.3898,0.0033,0.324,0.009,0.0704,0.0059,0.1191,0.0073,0.0964,0.0059,0.2899,0.0018,0.3912,0.003,35,0.1993
conformal_risk_filter,combined_stress,3,0.4167,0.0241,0.3931,0.0035,0.3234,0.0094,0.0697,0.0062,0.1199,0.0073,0.0951,0.0058,0.2899,0.0018,0.3899,0.0024,35,0.2109
conformal_risk_filter,combined_stress,4,0.4245,0.0166,0.3955,0.003,0.3237,0.0086,0.07,0.0053,0.1177,0.007,0.0962,0.0057,0.2899,0.0018,0.3874,0.0024,35,0.1959
conformal_risk_filter,combined_stress,5,0.4231,0.0252,0.3917,0.0033,0.3233,0.0085,0.0704,0.0058,0.1193,0.0069,0.0963,0.0057,0.2899,0.0018,0.3868,0.0028,35,0.2078
conformal_risk_filter,combined_stress,6,0.4333,0.0182,0.3891,0.0031,0.3237,0.0085,0.0697,0.0058,0.1185,0.0071,0.0957,0.0055,0.2899,0.0018,0.3883,0.0029,35,0.2027
complementarity_residual_planner,nominal,0,0.5673,0.018,0.5317,0.0037,0.2665,0.004,0.0541,0.0037,0.0682,0.0043,0.0434,0.0036,0.2316,0.0011,0.5276,0.0032,35,0.1452
complementarity_residual_planner,nominal,1,0.582,0.0172,0.5294,0.0031,0.2661,0.0035,0.0548,0.0035,0.0672,0.0039,0.0429,0.0033,0.2316,0.0011,0.5247,0.0027,35,0.1446
